i, 0, Q, 1, method, 1, obj, -1045.56743032, running time, 0.253957033157, 
i, 0, Q, 1, method, 2, obj, -1305.57682384, running time, 0.43491101265, 
i, 0, Q, 1, method, relaxed, obj, -926.878499307, running time, 0.0608088970184, 
i, 0, Q, 2, method, 1, obj, -1013.33697701, running time, 0.565056085587, 
i, 0, Q, 2, method, 2, obj, -1132.08471656, running time, 1.07123684883, 
i, 0, Q, 2, method, relaxed, obj, -926.878499307, running time, 0.0602498054504, 
i, 0, Q, 3, method, 1, obj, -983.951765159, running time, 3.23876404762, 
i, 0, Q, 3, method, 2, obj, -1102.132041, running time, 1.91847085953, 
i, 0, Q, 3, method, relaxed, obj, -926.878499307, running time, 0.0546839237213, 
i, 0, Q, 4, method, 1, obj, -991.537279069, running time, 4.26829695702, 
i, 0, Q, 4, method, 2, obj, -1105.462134, running time, 3.76194500923, 
i, 0, Q, 4, method, relaxed, obj, -926.878499307, running time, 0.0517659187317, 
i, 0, Q, 5, method, 1, obj, -974.344183001, running time, 11.3401288986, 
i, 0, Q, 5, method, 2, obj, -1067.98250254, running time, 4.54400682449, 
i, 0, Q, 5, method, relaxed, obj, -926.878499307, running time, 0.0557959079742, 
i, 0, Q, 6, method, 1, obj, -983.664497806, running time, 18.6590759754, 
i, 0, Q, 6, method, 2, obj, -1071.99676554, running time, 10.246762991, 
i, 0, Q, 6, method, relaxed, obj, -926.878499307, running time, 0.0581769943237, 
i, 0, Q, 7, method, 1, obj, -977.895188237, running time, 47.7934780121, 
i, 0, Q, 7, method, 2, obj, -1080.69870511, running time, 12.6734671593, 
i, 0, Q, 7, method, relaxed, obj, -926.878499307, running time, 0.0592410564423, 
i, 0, Q, 8, method, 1, obj, -975.402925427, running time, 83.3816699982, 
i, 0, Q, 8, method, 2, obj, -1078.3242213, running time, 44.2302949429, 
i, 0, Q, 8, method, relaxed, obj, -926.878499307, running time, 0.052962064743, 
i, 0, Q, 9, method, 1, obj, -975.048151329, running time, 108.271964073, 
i, 0, Q, 9, method, 2, obj, -1078.48924752, running time, 66.3133189678, 
i, 0, Q, 9, method, relaxed, obj, -926.878499307, running time, 0.0639839172363, 
i, 0, Q, 10, method, 1, obj, -966.412357754, running time, 22.4355211258, 
i, 0, Q, 10, method, 2, obj, -1071.31483417, running time, 88.4777889252, 
i, 0, Q, 10, method, relaxed, obj, -926.878499307, running time, 0.0581510066986, 
i, 1, Q, 1, method, 1, obj, -1333.30736352, running time, 0.292734861374, 
i, 1, Q, 1, method, 2, obj, -1417.19734345, running time, 0.411288022995, 
i, 1, Q, 1, method, relaxed, obj, -994.879908254, running time, 0.0628590583801, 
i, 1, Q, 2, method, 1, obj, -1146.2187759, running time, 3.36648201942, 
i, 1, Q, 2, method, 2, obj, -1210.3192508, running time, 0.894786119461, 
i, 1, Q, 2, method, relaxed, obj, -994.879908254, running time, 0.0603630542755, 
i, 1, Q, 3, method, 1, obj, -1118.73138717, running time, 2.80178117752, 
i, 1, Q, 3, method, 2, obj, -1205.15534249, running time, 1.81339788437, 
i, 1, Q, 3, method, relaxed, obj, -994.879908254, running time, 0.0592839717865, 
i, 1, Q, 4, method, 1, obj, -1110.5515059, running time, 21.2760410309, 
i, 1, Q, 4, method, 2, obj, -1198.82875359, running time, 3.69182491302, 
i, 1, Q, 4, method, relaxed, obj, -994.879908254, running time, 0.0591239929199, 
i, 1, Q, 5, method, 1, obj, -1096.33074562, running time, 10.6449019909, 
i, 1, Q, 5, method, 2, obj, -1168.03370303, running time, 5.36648583412, 
i, 1, Q, 5, method, relaxed, obj, -994.879908254, running time, 0.0591149330139, 
i, 1, Q, 6, method, 1, obj, -1097.19200609, running time, 61.4274098873, 
i, 1, Q, 6, method, 2, obj, -1169.35661711, running time, 9.57041883469, 
i, 1, Q, 6, method, relaxed, obj, -994.879908254, running time, 0.0660119056702, 
i, 1, Q, 7, method, 1, obj, -1094.4633385, running time, 55.5314400196, 
i, 1, Q, 7, method, 2, obj, -1185.79289623, running time, 17.7531199455, 
i, 1, Q, 7, method, relaxed, obj, -994.879908254, running time, 0.0597848892212, 
i, 1, Q, 8, method, 1, obj, -1092.17193576, running time, 120.671358824, 
i, 1, Q, 8, method, 2, obj, -1175.02772042, running time, 32.2386009693, 
i, 1, Q, 8, method, relaxed, obj, -994.87